2022987654,Carlos Picoto,a2022987654@isec.pt,LEI-PL,SI,0.123,TRUE
2015123456,Fernanda Gaspar,a2015123456@isec.pt,LEI,DA,0.37,true
2019999999,Mário Tavares,a2019999999@isec.pt,LEI,DA,0.37,FALSE
2020111111,Rute Miranda,a2020111111@isec.pt,LEI,RAS,0.37,TRUE
2021548654,Adriana Maia,a2021548654@isec.pt,LEI,SI,0.55,TRUE
2013684456,Fernando Rocha,a2013684456@isec.pt,LEI-PL,DA,0.9999,TRUE
2018560999,André Torres,a2018560999@isec.pt,LEI,DA,0.22,false
2017672111,Martinho Mota,a2017672111@isec.pt,LEI,RAS,0.22,TRUE
2018560999,Manuel Miranda,a2018560999@isec.pt,LEI-PL,RAS,0.55,FALSE
2020109654,William Cunha,a2020109654@isec.pt,LEI,SI,0.8,nim
2012245456,Ana Magalhães,a2012245456@isec.pt,LEI-LP,DA,0.8,FALSE
2017121999,Mauro Sá,a2017121999@isec.pt,LEI-PL,DASIRAS,0.89,TRUE
2018672111,Daniela Pinto,a2018672111@isec.pt,LEI,RAS,9999,TRUE
